protocol,srcPort,srcIP,destPort,destIP,isMalicious,action,ruleMatch
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,false,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
UDP,53809,192.168.1.10,3478,142.250.82.212,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,false,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,53809,192.168.1.10,3478,142.250.82.212,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,53809,192.168.1.10,3478,142.250.82.212,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,53809,192.168.1.10,3478,142.250.82.212,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,53809,192.168.1.10,3478,142.250.82.212,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
UDP,53809,192.168.1.10,3478,142.250.82.212,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
UDP,53809,192.168.1.10,3478,142.250.82.212,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,53809,192.168.1.10,3478,142.250.82.212,false,true,false
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,53809,192.168.1.10,3478,142.250.82.212,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,false,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,false,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
UDP,53809,192.168.1.10,3478,142.250.82.212,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
UDP,3478,142.250.82.212,53809,192.168.1.10,false,true,false
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,false,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
TCP,49925,192.168.1.10,443,2.16.149.148,false,true,true
TCP,443,2.16.149.148,49925,192.168.1.10,true,true,true
